\cite{gook}
Mass (A):  TKE (MeV): Average Neutron Multiplicity :	 Uncertainty
111.       179.        2.82542    0.046855
111.       181.        2.7636     0.0422811
111.       183.        2.60805    0.0385876
111.       185.        2.47976    0.0356583
111.       187.        2.29571    0.0331221
111.       189.        2.15735    0.0317607
111.       191.        1.92752    0.0301951
111.       193.        1.79473    0.0306476
111.       195.        1.56875    0.0309815
111.       197.        1.36386    0.0323432
111.       199.        1.21192    0.035821
111.       201.        0.990149   0.0388971
111.       203.        0.770244   0.0422537
111.       205.        0.60619    0.0506889
111.       207.        0.293527   0.0479843
111.       209.        0.21218    0.0593588
112.       145.        2.324      1.4344
112.       147.        3.02708    1.49367
112.       149.        2.75402    0.928913
112.       151.        3.54933    0.854372
112.       153.        3.96372    0.753192
112.       155.        5.00279    0.688281
112.       157.        3.54135    0.403279
112.       159.        4.53493    0.378371
112.       161.        3.43619    0.24088
112.       163.        3.55861    0.199152
112.       165.        3.63129    0.163383
112.       167.        3.52598    0.138181
112.       169.        3.54722    0.112288
112.       171.        3.4508     0.0923319
112.       173.        3.37362    0.0781109
112.       175.        3.27632    0.06759
112.       177.        3.19817    0.058523
112.       179.        3.06043    0.0518125
112.       181.        2.89873    0.0456708
112.       183.        2.74981    0.0416926
112.       185.        2.62344    0.0384475
112.       187.        2.46775    0.0360907
112.       189.        2.28015    0.0338653
112.       191.        2.15158    0.0332924
112.       193.        1.92645    0.0324733
112.       195.        1.77692    0.0331948
112.       197.        1.55871    0.0342552
112.       199.        1.42685    0.0377372
112.       201.        1.23376    0.0415293
112.       203.        0.973376   0.0450404
112.       205.        0.837031   0.0536427
112.       207.        0.554135   0.0574391
112.       209.        0.380998   0.0704675
112.       215.        0.367219   0.215557
113.       145.        2.60813    1.64091
113.       149.        2.90975    1.07991
113.       151.        4.31118    1.02958
113.       153.        3.40616    0.73032
113.       155.        4.26239    0.59734
113.       157.        3.94889    0.467495
113.       159.        3.73834    0.351149
113.       161.        3.88379    0.287249
113.       163.        4.38644    0.24644
113.       165.        3.66634    0.178882
113.       167.        3.71837    0.151649
113.       169.        3.61033    0.122577
113.       171.        3.5072     0.100294
113.       173.        3.49572    0.0860739
113.       175.        3.26734    0.0727329
113.       177.        3.22944    0.0644483
113.       179.        3.13865    0.0564048
113.       181.        3.08292    0.0509066
113.       183.        2.86374    0.0451389
113.       185.        2.87203    0.042577
113.       187.        2.62509    0.0387283
113.       189.        2.51348    0.0371291
113.       191.        2.30458    0.0356728
113.       193.        2.10871    0.0351771
113.       195.        2.02239    0.0365795
113.       197.        1.79322    0.0366424
113.       199.        1.48738    0.037678
113.       201.        1.31962    0.0410935
113.       203.        1.15144    0.0477092
113.       205.        0.944664   0.054626
113.       207.        0.860049   0.0683278
113.       209.        0.811947   0.0897819
113.       211.        0.552163   0.11215
113.       213.        0.101309   0.0587785
114.       149.        4.10356    1.57403
114.       151.        4.26657    0.990144
114.       153.        3.17225    0.703601
114.       155.        2.48794    0.469926
114.       157.        3.90056    0.483245
114.       159.        4.42697    0.422074
114.       161.        4.76866    0.358723
114.       163.        3.62856    0.233508
114.       165.        4.41393    0.221454
114.       167.        4.03615    0.175433
114.       169.        3.65902    0.132927
114.       171.        3.81337    0.117219
114.       173.        3.68743    0.0975994
114.       175.        3.61752    0.0851818
114.       177.        3.47684    0.0731352
114.       179.        3.3401     0.0637379
114.       181.        3.11785    0.0551644
114.       183.        3.10678    0.0512757
114.       185.        2.86664    0.0454985
114.       187.        2.87002    0.0435722
114.       189.        2.63646    0.0400762
114.       191.        2.5037     0.0390928
114.       193.        2.297      0.0377423
114.       195.        2.12016    0.038406
114.       197.        2.0103     0.0403131
114.       199.        1.85902    0.0429038
114.       201.        1.56246    0.0449361
114.       203.        1.21511    0.0470728
114.       205.        1.13881    0.0563628
114.       207.        0.917296   0.0654033
114.       209.        0.677523   0.0746173
114.       211.        0.325302   0.0681141
114.       215.        0.338465   0.197945
115.       145.        4.00818    2.05358
115.       149.        1.35284    0.710263
115.       151.        3.15593    0.879222
115.       153.        2.85071    0.643719
115.       155.        3.52773    0.650752
115.       157.        4.56745    0.566993
115.       159.        4.12645    0.433184
115.       161.        4.0447     0.343717
115.       163.        5.196      0.327085
115.       165.        4.0826     0.231604
115.       167.        3.93817    0.187547
115.       169.        3.94404    0.1569
115.       171.        3.75187    0.129015
115.       173.        3.48323    0.103606
115.       175.        3.45424    0.0920219
115.       177.        3.51088    0.0822763
115.       179.        3.42811    0.0717991
115.       181.        3.45782    0.0647077
115.       183.        3.16012    0.0567416
115.       185.        3.0641     0.0521428
115.       187.        2.91976    0.0474833
115.       189.        2.82299    0.0448271
115.       191.        2.64674    0.0429034
115.       193.        2.56995    0.0418356
115.       195.        2.41315    0.0422779
115.       197.        2.0804     0.042016
115.       199.        1.99692    0.0446656
115.       201.        1.78215    0.0468874
115.       203.        1.62146    0.0524007
115.       205.        1.37799    0.0579456
115.       207.        1.05421    0.0627501
115.       209.        0.759427   0.0688486
115.       211.        0.59894    0.0807691
115.       213.        0.605756   0.116094
115.       215.        0.481901   0.1566
116.       147.        4.34706    1.87366
116.       149.        5.73046    2.2973
116.       151.        3.33316    1.0561
116.       153.        4.31348    1.00967
116.       155.        3.99386    0.727809
116.       157.        4.22188    0.587584
116.       159.        4.77177    0.511801
116.       161.        4.32529    0.383088
116.       163.        4.02658    0.303001
116.       165.        4.54811    0.264617
116.       167.        3.91015    0.201978
116.       169.        3.85132    0.169272
116.       171.        3.86656    0.145683
116.       173.        3.84851    0.12282
116.       175.        3.71089    0.106
116.       177.        3.55267    0.0902422
116.       179.        3.58041    0.0827849
116.       181.        3.47182    0.072181
116.       183.        3.2573     0.0637227
116.       185.        3.24279    0.0598113
116.       187.        3.13061    0.0542498
116.       189.        3.00047    0.0507361
116.       191.        2.85578    0.0482628
116.       193.        2.74104    0.0467376
116.       195.        2.46971    0.0448694
116.       197.        2.38171    0.0469206
116.       199.        2.26274    0.048538
116.       201.        2.04447    0.0497555
116.       203.        1.91927    0.0552924
116.       205.        1.67454    0.061005
116.       207.        1.58578    0.0712196
116.       209.        1.27428    0.0784113
116.       211.        0.954237   0.0889106
116.       213.        0.716393   0.0994984
116.       215.        0.716515   0.154916
116.       217.        0.714603   0.231426
117.       147.        3.32987    1.61288
117.       149.        1.88979    0.804651
